S11 dB20 X,S11 dB20 Y
3356666666.666671,-18.79701068607873
3380000000.000005,-18.33874997821758
3403333333.333338,-17.96745480142188
3426666666.666672,-17.66967146209588
3450000000.000005,-17.43522662220676
3473333333.333339,-17.25629391252069
3496666666.666672,-17.12677664183708
3520000000.000006,-17.04188706440526
3543333333.333339,-16.99785252700421
3566666666.666673,-16.99170628199786
3590000000.000006,-17.02113655444859
3613333333.33334,-17.08437689970441
3636666666.666673,-17.1801267410789
3660000000.000007,-17.30749473147364
3683333333.33334,-17.46596008272583
3706666666.666674,-17.65534874862333
3730000000.000007,-17.8758226378828
3753333333.333341,-18.12788107334539
3776666666.666674,-18.41237465019314
3800000000.000008,-18.73053260453542
3823333333.333341,-19.08400591428218
3846666666.666675,-19.4749297791051
3870000000.000008,-19.90601109763456
3893333333.333342,-20.38064944020676
3916666666.666675,-20.90310440347141
3940000000.000009,-21.47872916338602
3963333333.333342,-22.1143013741275
3986666666.666676,-22.8185017709001
4010000000.000009,-23.60262473478107
4033333333.333343,-24.48166770191071
4056666666.666676,-25.4760683520506
4080000000.00001,-26.61461212658464
4103333333.333343,-27.93960258922272
4126666666.666677,-29.51680085003911
4150000000.00001,-31.45662895309338
4173333333.333344,-33.96657321964581
4196666666.666677,-37.51389500144155
4220000000.00001,-43.59891743636273
4243333333.333344,-82.49694159339268
4266666666.666677,-43.45130249453534
4290000000.000011,-37.51169311034324
4313333333.333344,-34.04423484044362
4336666666.666677,-31.59728223663265
4360000000.00001,-29.71314890030883
4383333333.333344,-28.18740304969418
4406666666.666677,-26.9108098328274
4430000000.00001,-25.81809012552823
4453333333.333343,-24.86710341213949
4476666666.666676,-24.02906171916349
4500000000.000009,-23.28342774733569
4523333333.333342,-22.61504029438756
4546666666.666675,-22.01239338253777
4570000000.000008,-21.46655460820572
4593333333.333341,-20.97045749322559
4616666666.666674,-20.51842275362136
4640000000.000007,-20.1058251106229
4663333333.33334,-19.72885569380599
4686666666.666673,-19.38434902528368
4710000000.000006,-19.06965472864433
4733333333.333339,-18.78254090151895
4756666666.666672,-18.52112035469835
4780000000.000005,-18.28379366789969
4803333333.333338,-18.06920482461041
4826666666.666671,-17.87620641006939
4850000000.000004,-17.7038321964728
4873333333.333337,-17.55127552810175
4896666666.66667,-17.41787233918031
4920000000.000003,-17.30308794283121
4943333333.333336,-17.20650695634439
4966666666.666669,-17.12782590043796
4990000000.000002,-17.06684814520046
5013333333.333335,-17.02348098509632
5036666666.666668,-16.99773471886707
5060000000.000001,-16.9897236945656
5083333333.333334,-16.99966936148837
5106666666.666667,-17.0279054552848
5130000000,-17.07488553620484
5153333333.333333,-17.14119321052502
5176666666.666666,-17.22755550079098
5199999999.999999,-17.33486000385693
5223333333.333332,-17.46417670383923
5246666666.666665,-17.61678561456101
5269999999.999998,-17.79421184899529
5293333333.333331,-17.99827030605025
5316666666.666664,-18.23112301149411
5339999999.999997,-18.49535338137315
5363333333.33333,-18.79406350423589
5386666666.666663,-19.13100331080639
5409999999.999996,-19.51074480527881
5433333333.333329,-19.93892139802234
5456666666.666662,-20.42256365775558
5479999999.999995,-20.97058196515338
5503333333.333328,-21.59448040265551
5526666666.666661,-22.30944877952462
5549999999.999994,-23.13610164678959
5573333333.333327,-24.10338657635264
5596666666.66666,-25.25375347714892
5619999999.999993,-26.6530891491157
5643333333.333326,-28.41190581214702
5666666666.666659,-30.73769684580962
5689999999.999992,-34.09745280034586
5713333333.333325,-39.98956655452953
5736666666.666658,-79.45369182116552
5759999999.999991,-39.47323405218401
5783333333.333324,-33.33383751657988
5806666666.666657,-29.66714711260752
5829999999.99999,-27.0196645870785
5853333333.333323,-24.9334242584545
5876666666.666656,-23.20397712550231
5899999999.99999,-21.72214370157548
5923333333.333323,-20.42272479446791
5946666666.666656,-19.26366784112997
5969999999.999989,-18.21627367601474
5993333333.333322,-17.26009083901068
6016666666.666655,-16.38003849951273
6039999999.999988,-15.56468363559427
6063333333.333321,-14.80515765460731
6086666666.666654,-14.09444708127861
6109999999.999987,-13.42691315421231
6133333333.33332,-12.79795691712744
6156666666.666653,-12.20377983466686
6179999999.999986,-11.64120891100585
6203333333.333319,-11.10756644888653
6226666666.666652,-10.60057138376043
6249999999.999985,-10.11826339177877
6273333333.333318,-9.658943716142463
6296666666.666651,-9.22112846596664
6319999999.999984,-8.80351135950791
6343333333.333317,-8.404933718365735
6366666666.66665,-8.024360101162056
6389999999.999983,-7.660858376959176
6413333333.333316,-7.313583333991645
6436666666.666649,-6.981763133673724
6459999999.999982,-6.664688077190263
6483333333.333315,-6.361701268614968
6506666666.666648,-6.072190845765596
6529999999.999981,-5.795583515872864
6553333333.333314,-5.531339183297908
6576666666.666647,-5.278946495081627
6599999999.99998,-5.037919160032375
6623333333.333313,-4.80779292055187
6646666666.666646,-4.588123075078452
6669999999.999979,-4.378482464096628
6693333333.333312,-4.178459845009046
6716666666.666645,-3.987658591453787
6739999999.999978,-3.805695661362965
6763333333.333311,-3.63220078555163
6786666666.666644,-3.466815835161451
6809999999.999977,-3.309194332043459
6833333333.33331,-3.159001071283529
6856666666.666643,-3.015911829644633
6879999999.999976,-2.879613137787907
6903333333.333309,-2.7498020977885
6926666666.666642,-2.626186230715325
6949999999.999975,-2.508483341926333
6973333333.333308,-2.39642139426588
6996666666.666641,-2.289738381559509
7019999999.999974,-2.188182196708168
7043333333.333307,-2.091510490308143
7066666666.66664,-1.999490517089626
7089999999.999973,-1.911898968598022
7113333333.333306,-1.828521791461765
7136666666.666639,-1.749153991321796
7159999999.999972,-1.673599423064283
7183333333.333305,-1.601670568420894
7206666666.666638,-1.533188302301933
7229999999.999971,-1.467981649425009
7253333333.333304,-1.405887532914665
7276666666.666637,-1.346750516591555
7299999999.99997,-1.29042254265809
7323333333.333303,-1.236762666433448
7346666666.666636,-1.185636789704776
7369999999.999969,-1.136917394153
7393333333.333302,-1.090483276188117
7416666666.666636,-1.046219284396641
7439999999.999969,-1.004016060668117
7463333333.333302,-0.9637697859321523
7486666666.666635,-0.9253819313054648
7509999999.999968,-0.8887590153224011
7533333333.333301,-0.8538123678034502
7556666666.666634,-0.8204579008062208
7579999999.999967,-0.7886158870021143
7603333333.3333,-0.7582107457303884
7626666666.666633,-0.7291708368989334
7649999999.999966,-0.7014282628282388
7673333333.333299,-0.6749186780707918
7696666666.666632,-0.6495811071823554
7719999999.999965,-0.6253577703737861
7743333333.333298,-0.6021939169311554
7766666666.666631,-0.5800376662579618
7789999999.999964,-0.5588398563650705
7813333333.333297,-0.5385538996112356
7836666666.66663,-0.5191356454792281
7859999999.999963,-0.5005432501587285
7883333333.333296,-0.4827370526973832
7906666666.666629,-0.465679457474515
7929999999.999962,-0.4493348227481655
7953333333.333295,-0.4336693550246156
7976666666.666628,-0.4186510090000407
8000000000,-0.4042493928262166
