S11 dB20 X,S11 dB20 Y
1000000000,-0.001634686829614403
1023333333.333333,-0.001910697498828279
1046666666.666667,-0.002227374163268168
1070000000,-0.002589998818269267
1093333333.333333,-0.003004474553570992
1116666666.666667,-0.00347739464171567
1140000000,-0.004016119232720566
1163333333.333333,-0.004628860500805203
1186666666.666667,-0.005324777182792376
1210000000,-0.006114079551728549
1233333333.333333,-0.007008145983960372
1256666666.666666,-0.008019652404438018
1280000000,-0.009162716034166716
1303333333.333333,-0.01045305501654523
1326666666.666666,-0.01190816566645714
1349999999.999999,-0.01354751926835863
1373333333.333333,-0.0153927805476203
1396666666.666666,-0.01746805015343089
1419999999.999999,-0.0198001337215364
1443333333.333332,-0.02241884033043779
1466666666.666666,-0.02535731342405015
1489999999.999999,-0.0286523975451668
1513333333.333332,-0.03234504450375709
1536666666.666665,-0.03648076288744338
1559999999.999999,-0.04111011510115656
1583333333.333332,-0.04628926638965086
1606666666.666665,-0.05208059053735374
1629999999.999998,-0.05855333713822568
1653333333.333332,-0.06578436546220073
1676666666.666665,-0.07385894998673354
1699999999.999998,-0.08287166257701725
1723333333.333331,-0.09292733604312318
1746666666.666665,-0.1041421133229832
1769999999.999998,-0.1166445857718044
1793333333.333331,-0.1305770229027086
1816666666.666664,-0.1460966943280106
1839999999.999998,-0.1633772824878995
1863333333.333331,-0.182610381901217
1886666666.666664,-0.2040070769958602
1909999999.999997,-0.2277995859280992
1933333333.333331,-0.2542429520314983
1956666666.666664,-0.2836167575033715
1979999999.999997,-0.3162268255171526
2003333333.33333,-0.3524068670621201
2026666666.666664,-0.3925200174459634
2049999999.999997,-0.436960194645766
2073333333.33333,-0.4861531978024747
2096666666.666663,-0.5405574495664986
2119999999.999997,-0.6006642714135517
2143333333.33333,-0.6669975674593477
2166666666.666663,-0.7401127810489451
2189999999.999997,-0.8205949811733476
2213333333.33333,-0.9090559345839817
2236666666.666664,-1.006130026573261
2259999999.999997,-1.112468911052836
2283333333.333331,-1.228734800858226
2306666666.666664,-1.35559235362198
2329999999.999998,-1.493699167552699
2353333333.333331,-1.643694974022475
2376666666.666665,-1.806189697115961
2399999999.999998,-1.981750639238317
2423333333.333332,-2.170889139472423
2446666666.666665,-2.374047128954331
2469999999.999999,-2.591584065684735
2493333333.333332,-2.823764760995069
2516666666.666666,-3.070748604396718
2539999999.999999,-3.332580649243173
2563333333.333333,-3.609184939528595
2586666666.666666,-3.900360344203308
2610000000,-4.205779030141684
2633333333.333333,-4.524987562191833
2656666666.666667,-4.857410483785335
2680000000,-5.202356118746653
2703333333.333333,-5.559024255614347
2726666666.666667,-5.926515336851406
2750000000,-6.303840778370974
2773333333.333334,-6.689934086229151
2796666666.666667,-7.083662509134344
2820000000.000001,-7.483839056476407
2843333333.333334,-7.889234809112669
2866666666.666668,-8.298591541121175
2890000000.000001,-8.710634743034593
2913333333.333335,-9.1240871804766
2936666666.666668,-9.537683129081188
2960000000.000002,-9.950183392886862
2983333333.333335,-10.36039113886023
3006666666.666669,-10.76716846919045
3030000000.000002,-11.16945351481068
3053333333.333336,-11.56627768240142
3076666666.666669,-11.95678254113639
3100000000.000003,-12.34023571524309
3123333333.333336,-12.71604507443944
3146666666.66667,-13.08377050336269
3170000000.000003,-13.44313259329116
3193333333.333337,-13.79401773536538
3216666666.66667,-14.1364792940674
3240000000.000004,-14.47073478300003
3263333333.333337,-14.79715922510323
3286666666.666671,-15.11627512684209
3310000000.000004,-15.42873970344477
3333333333.333338,-15.73533013956467
3356666666.666671,-16.03692774601525
3380000000.000005,-16.33450187813262
3403333333.333338,-16.62909442377142
3426666666.666672,-16.92180556444743
3450000000.000005,-17.21378138051691
3473333333.333339,-17.50620372945587
3496666666.666672,-17.80028269184963
3520000000.000006,-18.09725176542183
3543333333.333339,-18.3983659018973
3566666666.666673,-18.70490242948488
3590000000.000006,-19.01816488722055
3613333333.33334,-19.33948981666051
3636666666.666673,-19.67025661153706
3660000000.000007,-20.01190061811084
3683333333.33334,-20.3659298116086
