S21 dB20 X,S21 dB20 Y
3030000000.000002,-0.3451287382151901
3053333333.333336,-0.3138742900314148
3076666666.666669,-0.2859738287053801
3100000000.000003,-0.2610649700668821
3123333333.333336,-0.2388173946757352
3146666666.66667,-0.2189312925729047
3170000000.000003,-0.2011356350044995
3193333333.333337,-0.1851863421041163
3216666666.66667,-0.1708644027049595
3240000000.000004,-0.1579739909354655
3263333333.333337,-0.1463406141683046
3286666666.666671,-0.1358093182625985
3310000000.000004,-0.126242968802157
3333333333.333338,-0.1175206210786179
3356666666.666671,-0.1095359867603275
3380000000.000005,-0.1021960013786866
3403333333.333338,-0.09541949380732523
3426666666.666672,-0.08913595666795751
3450000000.000005,-0.08328441494529477
3473333333.333339,-0.07781238892066697
3496666666.666672,-0.07267494674460721
3520000000.000006,-0.06783384148094414
3543333333.333339,-0.06325672720110583
3566666666.666673,-0.0589164486310961
3590000000.000006,-0.05479039890933128
3613333333.33334,-0.05085994016490319
3636666666.666673,-0.04710988184333144
3660000000.000007,-0.04352801196791924
3683333333.33334,-0.04010467681200793
3706666666.666674,-0.03683240475697321
3730000000.000007,-0.03370557041309877
3753333333.333341,-0.03072009537800455
3776666666.666674,-0.02787318229496794
3800000000.000008,-0.02516307914802207
3823333333.333341,-0.02258887098938211
3846666666.666675,-0.02015029653711247
3870000000.000008,-0.01784758730571349
3893333333.333342,-0.01568132714007941
3916666666.666675,-0.01365233021423413
3940000000.000009,-0.01176153573117543
3963333333.333342,-0.01000991771978556
3986666666.666676,-0.008398408470333768
4010000000.000009,-0.006927834282284295
4033333333.333343,-0.005598862318303182
4056666666.666676,-0.004411957467227024
4080000000.00001,-0.003367348217637248
4103333333.333343,-0.002465000633216762
4126666666.666677,-0.001704599602238668
4150000000.00001,-0.001085536607292831
4173333333.333344,-0.000606903328126272
4196666666.666677,-0.0002674904513990515
4220000000.00001,-6.579111627483195e-05
4243333333.333344,-8.475335244516598e-09
4266666666.666677,-6.806689604609474e-05
4290000000.000011,-0.0002676263701959665
4313333333.333344,-0.0005960997370189655
4336666666.666677,-0.001050672360943591
4360000000.00001,-0.001628323937300637
4383333333.333344,-0.002325852128978836
