swapSweep(_drplCompressionPointCurve("Output-referred") "r") (XdbLevel=1) X,swapSweep(_drplCompressionPointCurve("Output-referred") "r") (XdbLevel=1) Y
10,10.10044438667656
11,10.91179887880858
12,11.64537971328104
13,12.3146849009975
14,12.92911974666756
15,13.49578966312182
16,14.02023053988085
17,14.50680008977069
18,14.95891596012464
19,15.37919960645233
20,15.76955017450921
21,16.13115815711577
22,16.46446520685869
23,16.76908394626332
24,17.04371956768072
25,17.28620331014312
26,17.49379946071464
27,17.66390860471049
28,17.7949837296188
29,17.8871780979784
30,17.94236697238182
31,17.96367617550607
32,17.95485989789088
33,17.91976370214596
34,17.80542326915394
35,17.78523903885138
36,17.65170997327433
37,17.56900359971765
38,17.47431595757073
39,17.34120687902098
40,17.19887957183238
41,17.04734886516864
42,16.89044820349242
43,16.72726248973978
44,16.56580219296839
45,16.39311354095349
46,16.2165645071896
47,16.03682693967111
48,15.85580312795825
49,15.67137903234152
50,15.48591148796561
