swapSweep(_drplCompressionPointCurve("Output-referred") "fin") (XdbLevel=1) X,swapSweep(_drplCompressionPointCurve("Output-referred") "fin") (XdbLevel=1) Y
1000000000,-31.41414411458912
1200000000,-25.77529882596961
1500000000,-18.12293544655721
1600000000,-15.79459582556491
1800000000,-11.12126215179925
1900000000,-8.759480486198655
2100000000,-3.950845762345573
2200000000,-1.473990928396319
2300000000,1.069951061717262
2500000000,5.839637711937034
2800000000,9.304106312746701
3000000000,11.44107223170244
3200000000,11.95674155384602
3500000000,11.2128529915806
3700000000,11.05989277122837
3800000000,11.03854448359867
4000000000,11.02636620061953
4100000000,11.02557642855193
4300000000,11.03208011125542
4800000000,11.03234168971684
5100000000,11.009133104328
5300000000,11.01831404263468
5600000000,11.0381246874222
5800000000,10.91895386606036
6100000000,10.09836047695327
6300000000,9.254850152817415
6600000000,7.939824320982154
6800000000,7.059017362896402
7100000000,5.596614713578305
7300000000,4.381703953045573
7400000000,3.615083860360532
7600000000,2.259264220769825
7700000000,1.551166895568876
7900000000,0.1438961750108803
8000000000,-0.5452224394089207
8200000000,-1.881195120829073
8300000000,-2.525606314046144
8500000000,-3.775934809631934
8600000000,-4.379766657365259
8800000000,-5.538260804299568
8900000000,-6.094286895137017
9100000000,-7.163311526037091
9200000000,-7.677634669107356
9400000000,-8.668956411039858
9500000000,-9.147120785843015
9700000000,-10.07108647532827
10000000000,-11.38315990429177
