swapSweep(_drplCompressionPointCurve("Output-referred") "fin") (XdbLevel=1) X,swapSweep(_drplCompressionPointCurve("Output-referred") "fin") (XdbLevel=1) Y
1000000000,-29.45786653762637
1200000000,-23.88577862493943
1500000000,-16.45435863279174
1700000000,-11.93583455823699
1900000000,-7.554310374024695
2100000000,-3.287033108306588
2300000000,0.7424988815348854
2500000000,3.909693960447232
2600000000,5.052142899881023
2800000000,6.345243959753823
3000000000,6.996234264856074
3100000000,7.16281128517679
3300000000,7.257928102222856
3700000000,7.127367269884047
3900000000,7.087805010262297
4100000000,7.067244955587196
4300000000,7.053333504617854
4500000000,7.03887804717267
4700000000,7.019967894353329
4900000000,6.993902992891211
5100000000,6.957376008605753
5300000000,6.904724795206839
5500000000,6.826812571104867
5800000000,6.635787217105801
6000000000,6.441579582999907
6200000000,6.184309251636513
6400000000,5.857335533110675
6800000000,4.857355674470202
7000000000,4.349337260768401
7200000000,3.463264138083641
7400000000,2.597111751615479
8400000000,-2.667827758774095
8800000000,-4.697568658253914
9000000000,-5.661693469147806
9200000000,-6.591106392137256
9400000000,-7.486587840307735
9600000000,-8.349457976826692
9900000000,-9.586121743566757
