imag(YP("/PORT1" "/PORT1")) / (2 * 3.14 * xval(YP("/PORT1" "/PORT1"))) X,imag(YP("/PORT1" "/PORT1")) / (2 * 3.14 * xval(YP("/PORT1" "/PORT1"))) Y
3000000000,3.597574366819563e-13
3030000000,3.597501072659372e-13
3060000000,3.59742705902691e-13
3090000000,3.597352327465641e-13
3120000000,3.597276879496951e-13
3150000000,3.597200716621769e-13
3180000000,3.597123840322177e-13
3210000000,3.597046252062843e-13
3240000000,3.596967953292387e-13
3270000000,3.596888945444674e-13
3300000000,3.596811027512998e-13
3330000000,3.59672880818615e-13
3360000000,3.596647681579575e-13
3390000000,3.59656585150623e-13
3420000000,3.596483320065153e-13
3450000000,3.596400087184828e-13
3480000000,3.596316154941853e-13
3510000000,3.596233213974648e-13
3540000000,3.596146197772751e-13
3570000000,3.596060175533671e-13
3600000000,3.595975106324725e-13
3630000000,3.595886050424749e-13
3660000000,3.595797950212926e-13
3690000000,3.595710766805691e-13
3720000000,3.595619681092801e-13
3750000000,3.595529514823108e-13
3780000000,3.595438662502275e-13
3810000000,3.595348681599052e-13
3840000000,3.595256448947898e-13
3870000000,3.595162002369114e-13
3900000000,3.595068418974694e-13
3930000000,3.594975664681596e-13
3960000000,3.594880712178168e-13
3990000000,3.594783597097607e-13
4020000000,3.594687303611747e-13
4050000000,3.594590335882792e-13
4080000000,3.594492695224276e-13
4110000000,3.594394382950978e-13
4140000000,3.59429540037908e-13
4170000000,3.59419574882639e-13
4200000000,3.594095429612511e-13
4230000000,3.593995845542961e-13
4260000000,3.593892793489582e-13
4290000000,3.593790479230203e-13
4320000000,3.593688874860624e-13
4350000000,3.593583864957668e-13
4380000000,3.593479567609056e-13
4410000000,3.593375956111212e-13
4440000000,3.593268999169234e-13
4470000000,3.593164056904664e-13
4500000000,3.593055808016292e-13
4530000000,3.59294823228787e-13
4560000000,3.592840004926155e-13
4590000000,3.59273241871498e-13
4620000000,3.592621600726905e-13
4650000000,3.592511426609985e-13
4680000000,3.592400606301134e-13
4710000000,3.592289141169535e-13
4740000000,3.592177032588016e-13
4770000000,3.592064281933092e-13
4800000000,3.591950890585022e-13
4830000000,3.591836859927858e-13
4860000000,3.591722191349438e-13
4890000000,3.591608098329879e-13
4920000000,3.591490945999548e-13
4950000000,3.591374372023147e-13
4980000000,3.591257165715707e-13
5010000000,3.591139328484586e-13
5040000000,3.591020861741136e-13
5070000000,3.590902935889485e-13
5100000000,3.590782045382565e-13
5130000000,3.590662853904122e-13
5160000000,3.5905407280107e-13
5190000000,3.590419135015712e-13
5220000000,3.590296921060566e-13
5250000000,3.590174087584722e-13
5280000000,3.59005063603168e-13
5310000000,3.589926567848952e-13
5340000000,3.589801884488118e-13
5370000000,3.58967658740476e-13
5400000000,3.589550678058491e-13
5430000000,3.589424157912947e-13
5460000000,3.589297028435759e-13
5490000000,3.589169291098576e-13
5520000000,3.589040947377016e-13
5550000000,3.588911998750676e-13
5580000000,3.588782446703123e-13
5610000000,3.588652292721863e-13
5640000000,3.588521538298328e-13
5670000000,3.588390184927883e-13
5700000000,3.588258234109775e-13
5730000000,3.58812568734712e-13
5760000000,3.587992546146918e-13
5790000000,3.587858812019987e-13
5820000000,3.587724486480957e-13
5850000000,3.587589571048268e-13
5880000000,3.587454067244135e-13
5910000000,3.587317976594491e-13
5940000000,3.587181300629019e-13
5970000000,3.587044040881097e-13
6000000000,3.586906198887766e-13
