swapSweep(_drplCompressionPointCurve("Output-referred") "fin") (XdbLevel=1) X,swapSweep(_drplCompressionPointCurve("Output-referred") "fin") (XdbLevel=1) Y
1000000000,-20.6853567619439
1200000000,-15.10409738471048
1500000000,-7.669580198649761
1700000000,-2.917214331136726
2000000000,4.228990487191563
2200000000,9.234498733488007
2500000000,15.12533125590432
2800000000,17.19555608447911
3000000000,19.22098029526297
3500000000,21.191414498121
3700000000,21.03366030766015
4000000000,20.64076962484623
4200000000,20.40324201884678
4300000000,20.31819720707717
4500000000,20.25247932914467
4800000000,20.33759829823954
5000000000,20.46858507956343
5300000000,20.58149198588883
5500000000,20.49537225113651
5700000000,20.15611539628055
6000000000,18.71161796309351
6200000000,16.97711933203411
6500000000,14.31163972151486
6700000000,13.00919162443536
6900000000,11.99816047512592
7200000000,10.62324281274843
7400000000,9.731090705138225
8000000000,7.082993569168551
8200000000,6.208972446788966
8500000000,4.911670084613366
8700000000,4.060350001714962
8800000000,3.640581628145505
9000000000,2.813821547452083
9200000000,2.004715537685481
9500000000,0.8157646026835081
9700000000,0.02717474962343402
10000000000,-1.119624439387085
