S21 dB20 X,S21 dB20 Y
1000000000,-36.19086332298696
1010000000,-35.89614817572843
1020000000,-35.60357727209179
1030000000,-35.31309894085796
1040000000,-35.0246629341534
1050000000,-34.73822037223573
1060000000,-34.45372369091858
1070000000,-34.17112659148969
1080000000,-33.89038399298509
1090000000,-33.61145198669194
1100000000,-33.33428779276032
1110000000,-33.05884971881245
1120000000,-32.78509712044485
1130000000,-32.51299036352557
1140000000,-32.24249078819501
1150000000,-31.97356067448471
1160000000,-31.70616320947358
1170000000,-31.44026245590658
1180000000,-31.17582332220533
1190000000,-30.91281153380448
1200000000,-30.65119360575218
1210000000,-30.39093681651642
1220000000,-30.1320091829432
1230000000,-29.87437943631543
1240000000,-29.61801699946503
1250000000,-29.36289196489373
1260000000,-29.10897507386071
1270000000,-28.85623769639821
1280000000,-28.60465181221881
1290000000,-28.35418999248034
1300000000,-28.10482538237677
1310000000,-27.85653168452588
1320000000,-27.60928314312628
1330000000,-27.36305452885851
1340000000,-27.11782112450703
1350000000,-26.87355871128148
1360000000,-26.63024355581762
1370000000,-26.38785239784001
1380000000,-26.14636243846995
1390000000,-25.90575132916429
1400000000,-25.66599716127174
1410000000,-25.42707845619526
1420000000,-25.18897415615038
1430000000,-24.95166361551092
1440000000,-24.71512659273483
1450000000,-24.47934324286453
1460000000,-24.24429411059751
1470000000,-24.00996012392397
1480000000,-23.77632258833037
1490000000,-23.5433631815686
1500000000,-23.31106394899206
1510000000,-23.07940729946129
1520000000,-22.84837600182361
1530000000,-22.61795318197175
1540000000,-22.38812232048904
1550000000,-22.1588672508893
1560000000,-21.93017215846141
1570000000,-21.70202157973019
1580000000,-21.4744004025464
1590000000,-21.24729386682066
1600000000,-21.02068756591739
1610000000,-20.79456744872648
1620000000,-20.5689198224325
1630000000,-20.34373135600254
1640000000,-20.11898908441552
1650000000,-19.89468041365799
1660000000,-19.67079312651297
1670000000,-19.44731538917018
1680000000,-19.22423575868812
1690000000,-19.00154319134035
1700000000,-18.77922705188003
1710000000,-18.55727712375923
1720000000,-18.33568362034084
1730000000,-18.11443719714371
1740000000,-17.8935289651629
1750000000,-17.67295050530933
1760000000,-17.45269388401504
1770000000,-17.23275167005192
1780000000,-17.01311695261393
1790000000,-16.79378336071423
1800000000,-16.57474508395073
1810000000,-16.35599689469446
1820000000,-16.137534171757
1830000000,-15.91935292559404
1840000000,-15.70144982510283
1850000000,-15.48382222607216
1860000000,-15.26646820134325
1870000000,-15.04938657273972
1880000000,-14.83257694482426
1890000000,-14.61603974053755
1900000000,-14.39977623877371
1910000000,-14.18378861394281
1920000000,-13.96807997756777
1930000000,-13.752654421958
1940000000,-13.53751706599582
1950000000,-13.32267410306499
1960000000,-13.10813285114145
1970000000,-12.89390180505636
1980000000,-12.67999069092886
1990000000,-12.46641052275243
2000000000,-12.25317366110167
2010000000,-12.04029387390781
2020000000,-11.82778639922963
2030000000,-11.61566800992192
2040000000,-11.4039570800763
2050000000,-11.19267365307782
2060000000,-10.98183951108652
2070000000,-10.77147824571466
2080000000,-10.56161532962749
2090000000,-10.35227818874924
2100000000,-10.14349627470461
2110000000,-9.935301137070327
2120000000,-9.727726494951915
2130000000,-9.5208083073355
2140000000,-9.314584841596492
2150000000,-9.109096739473461
2160000000,-8.904387079739541
2170000000,-8.700501436723743
2180000000,-8.497487933752884
2190000000,-8.29539729050126
2200000000,-8.094282863151642
2210000000,-7.894200676188909
2220000000,-7.695209444567865
2230000000,-7.497370584922225
2240000000,-7.300748214414547
2250000000,-7.105409135768767
2260000000,-6.91142280698242
2270000000,-6.718861294186329
2280000000,-6.527799206109679
2290000000,-6.338313608621561
2300000000,-6.150483917859467
2310000000,-5.964391770525665
2320000000,-5.780120870035777
2330000000,-5.597756807346059
2340000000,-5.417386855466947
2350000000,-5.239099736896127
2360000000,-5.06298536347278
2370000000,-4.889134548469819
2380000000,-4.717638691099647
2390000000,-4.548589434010756
2400000000,-4.382078294793319
2410000000,-4.218196272986365
2420000000,-4.057033434580014
2430000000,-3.898678476524758
2440000000,-3.743218274284857
2450000000,-3.590737415991581
2460000000,-3.441317727251026
2470000000,-3.295037791124795
2480000000,-3.151972468214374
2490000000,-3.012192422125673
2500000000,-2.875763655854074
2510000000,-2.742747064797401
2520000000,-2.613198012163757
2530000000,-2.487165932482409
2540000000,-2.364693968743592
2550000000,-2.245818648384667
2560000000,-2.130569602906469
2570000000,-2.018969335352772
2580000000,-1.911033039226117
2590000000,-1.806768471660809
2600000000,-1.706175882846355
2610000000,-1.609248002813378
2620000000,-1.515970085782563
2630000000,-1.42632001136039
2640000000,-1.340268440967748
2650000000,-1.257779027034092
2660000000,-1.178808671701502
2670000000,-1.103307831081332
2680000000,-1.03122086050557
2690000000,-0.9624863957294019
2700000000,-0.8970377646775995
2710000000,-0.8348034240899884
2720000000,-0.775707415309058
2730000000,-0.7196698334612294
2740000000,-0.6666073044049945
2750000000,-0.6164334640421023
2760000000,-0.569059434899625
2770000000,-0.524394295275974
2780000000,-0.4823455366872459
2790000000,-0.4428195058354494
2800000000,-0.4057218278321393
2810000000,-0.3709578079350451
2820000000,-0.3384328095778014
2830000000,-0.3080526069829868
2840000000,-0.2797237111355169
2850000000,-0.2533536683499126
2860000000,-0.2288513310841294
2870000000,-0.2061271010308224
2880000000,-0.1850931448510438
2890000000,-0.1656635832043729
2900000000,-0.147754653973674
2910000000,-0.1312848507829433
2920000000,-0.1161750380657063
2930000000,-0.1023485440612018
2940000000,-0.08973123320020336
2950000000,-0.07825155939467802
2960000000,-0.06784060176987916
