S11  X,S11  YRe,S11  YReImag
3470000000,0.01073035094190122,0.1200307610624462
3480000000,0.01023531392355759,0.11824403060819
3490000000,0.009757981517015901,0.1164715948573776
3500000000,0.009297957951286184,0.1147127750848021
3510000000,0.008854845263303046,0.112966921345538
3520000000,0.008428244028883425,0.1112334116367954
3530000000,0.008017754048208925,0.1095116510727398
3540000000,0.0076229749881076,0.1078010710728475
3550000000,0.007243506983316328,0.1061011285642539
3560000000,0.006878951198806105,0.1044113051984869
3570000000,0.006528910355152906,0.1027311065828842
3580000000,0.006192989218852141,0.1010600615269429
3590000000,0.005870795059386147,0.09939772130377633
3600000000,0.005561938074765571,0.09774365892679572
3610000000,0.005266031787182435,0.09609746844170083
3620000000,0.004982693410349404,0.09445876423379548
3630000000,0.004711544189992756,0.09282718035062451
3640000000,0.004452209718934563,0.09120236983987898
3650000000,0.004204320228092584,0.0895840041024972
3660000000,0.003967510854681944,0.08797177226084675
3670000000,0.003741421888837859,0.08636538054186289
3680000000,0.003525698999804039,0.08476455167498514
3690000000,0.003319993442788993,0.08316902430472374
3700000000,0.003123962247526979,0.08157855241766938
3710000000,0.002937268389533454,0.07999290478373718
3720000000,0.002759580944989848,0.07841186441144213
3730000000,0.002590575230146497,0.07683522801697316
3740000000,0.00242993292608884,0.07526280550684011
3750000000,0.00227734218966491,0.07369441947385433
3760000000,0.00213249775133284,0.0721299047061978
3770000000,0.001995101000648702,0.0705691077093364
3780000000,0.001864860060077245,0.06901188624052464
3790000000,0.00174148984776834,0.06745810885565293
3800000000,0.00162471212991866,0.06590765446818098
3810000000,0.001514255563294764,0.06436041191990814
3820000000,0.001409855728469855,0.0628162795633255
3830000000,0.001311255154298197,0.06127516485529956
3840000000,0.00121820333412237,0.05973698396183959
3850000000,0.001130456734184104,0.05820166137369955
3860000000,0.001047778794677434,0.05666912953256802
3870000000,0.0009699399238782824,0.05513932846761112
3880000000,0.0008967174857417159,0.05361220544212204
3890000000,0.000827895781346788,0.05208771461004888
3900000000,0.0007632660245593392,0.0505658166821653
3910000000,0.0007026263122431597,0.04904647860166046
3920000000,0.0006457815893459173,0.04752967322892186
3930000000,0.000592543609176488,0.04601537903529262
3940000000,0.0005427308891563509,0.0445035798055935
3950000000,0.0004961686623228267,0.0429942643491913
3960000000,0.0004526888248552741,0.04148742621941468
3970000000,0.0004121298798656081,0.03998306344111179
3980000000,0.0003743368776945033,0.03848117824615501
3990000000,0.0003391613529390991,0.03698177681669634
4000000000,0.0003064612584242621,0.03548486903599159
4010000000,0.0002761008963239053,0.03399046824660198
4020000000,0.0002479508466222136,0.03249859101579673
4030000000,0.0002218878931028456,0.03100925690798286
4040000000,0.0001977949470377549,0.02952248826398683
4050000000,0.000175560968741939,0.02803830998702156
4060000000,0.0001550808871531029,0.02655674933517873
4070000000,0.0001362555175907776,0.0250778357202818
4080000000,0.0001189914778292334,0.02360160051294661
4090000000,0.0001032011026249613,0.02212807685369909
4100000000,8.880235683506044e-05,0.02065729946999833
4110000000,7.571874723200089e-05,0.01918930449902127
4120000000,6.387923315509525e-05,0.01772412931607093
4130000000,5.321813608971659e-05,0.01626181236846521
4140000000,4.367504829461133e-05,0.01480239301477722
4150000000,3.519474057100958e-05,0.01334591136928817
4160000000,2.772706927500757e-05,0.01189240815153467
4170000000,2.122688265848716e-05,0.01044192454081543
4180000000,1.565392663160914e-05,0.00899450203554202
4190000000,1.097275003170139e-05,0.007550182317310382
4200000000,7.152609468485949e-06,0.006109007119579779
4210000000,4.167373829799814e-06,0.004671018100842209
