S11  X,S11  YRe,S11  YReImag
3000000000,0.08979591836734735,-0.009997917317482645
3010000000,0.0817205312754361,-0.01057405602420471
3020000000,0.07388611379834642,-0.01088506904476926
3030000000,0.06629581072007551,-0.01094813246391237
3040000000,0.05895187147948722,-0.01077992635730768
3050000000,0.05185571935503974,-0.01039661059507215
3060000000,0.04500801813271105,-0.009813806405159633
3070000000,0.03840873601288974,-0.009046583120881021
3080000000,0.03205720657779443,-0.008109449561951981
3090000000,0.02595218669874533,-0.007016349527297968
3100000000,0.02009191131276999,-0.005780660909221092
3110000000,0.01447414504108435,-0.004415197971475851
3120000000,0.009096230658463655,-0.002932216367466408
3130000000,0.003955134453044851,-0.001343420508531633
3140000000,-0.0009525114588486705,0.0003400270744571369
3150000000,-0.005630369777975153,0.002107494700600163
3160000000,-0.01008236152675113,0.003948869132888647
3170000000,-0.01431263230014179,0.005854542060226172
3180000000,-0.01832552114098562,0.007815395703273203
3190000000,-0.02212553191183209,0.009822787753657742
3200000000,-0.02571730703170527,0.01186853583170556
3210000000,-0.02910560344462498,0.01394490162533702
3220000000,-0.03229527068682114,0.01604457485206858
3230000000,-0.03529123092108577,0.01816065716712787
3240000000,-0.03809846080936508,0.02028664612349901
3250000000,-0.0407219750982506,0.02241641927412817
3260000000,-0.04316681179628257,0.02454421849250678
3270000000,-0.0454380188268001,0.02666463457527832
3280000000,-0.04754064204520292,0.02877259217928697
3290000000,-0.04947971451495414,0.03086333513553427
3300000000,-0.05126024694220499,0.03293241217369142
3310000000,-0.05288721917455774,0.03497566308306182
3320000000,-0.05436557267509701,0.0369892053291039
3330000000,-0.05570020388836461,0.03896942113870494
3340000000,-0.05689595842036055,0.04091294506228136
3350000000,-0.05795762595992726,0.04281665201636599
3360000000,-0.05888993587393321,0.04467764580657035
3370000000,-0.05969755341354355,0.0464932481276238
3380000000,-0.06038507647351044,0.04826098803448604
3390000000,-0.06095703285082021,0.0499785918762981
3400000000,-0.06141787795322029,0.05164397368309436
3410000000,-0.06177199291207747,0.05325522599371161
3420000000,-0.06202368305773187,0.05481061111214375
3430000000,-0.06217717671898304,0.05630855277868125
3440000000,-0.06223662431158905,0.05774762824149884
3450000000,-0.06220609768368779,0.05912656071386947
3460000000,-0.06208958968888689,0.06044421220189296
3470000000,-0.06189101396036667,0.06169957668746374
3480000000,-0.06161420486179237,0.06289177365118351
3490000000,-0.06126291759306535,0.06402004192000842
3500000000,-0.06084082843103422,0.06508373382458889
3510000000,-0.06035153508719893,0.06608230965151157
3520000000,-0.05979855716620674,0.06701533237596369
3530000000,-0.05918533671056547,0.06788246266069392
3540000000,-0.05851523881850207,0.06868345410755661
3550000000,-0.0577915523232414,0.06941814874834262
3560000000,-0.05701749052325911,0.07008647276206224
3570000000,-0.05619619195419823,0.07068843240631692
3580000000,-0.0553307211941797,0.07122411015087637
3590000000,-0.05442406969521918,0.07169366100206423
3600000000,-0.05347915663429714,0.07209730900705012
3610000000,-0.05249882977846021,0.0724353439276324
3620000000,-0.05148586635902619,0.07270811807357702
